architecture,auprc,auroc,base_architecture,budget,calibration_f1,clean_abstention,exact_error,f1,family,locator,model,n,primary,task,threshold,weight,within_one
a_three_independent__w0.50__persistent_onset,0.6308696213016699,0.6087844739530133,a_three_independent,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6087844739530133,online_budget,,0.5,
a_three_independent__w0.50__persistent_onset,0.6446366626354776,0.6036772216547497,a_three_independent,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6036772216547497,online_budget,,0.5,
a_three_independent__w0.50__persistent_onset,0.6827979740697967,0.6699438202247191,a_three_independent,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6699438202247191,online_budget,,0.5,
a_three_independent__w0.50__persistent_onset,0.7540068972068532,0.7511360598770381,a_three_independent,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.7511360598770381,online_budget,,0.5,
a_three_independent__w0.50__persistent_onset,0.9001946076235124,0.8365339578454332,a_three_independent,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.8365339578454332,online_budget,,0.5,
a_three_independent__w0.50__persistent_onset,nan,nan,a_three_independent,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,0.5,
a_three_independent__w0.75__peak,0.8474730357925596,0.8333758937691521,a_three_independent,,,,,,gsm8k,peak,qwen3_4b,177,0.8333758937691521,global,,0.75,
a_three_independent__w0.75__peak,,,a_three_independent,,0.34252481700591597,0.5421686746987951,0.2978723404255319,0.38449801647848636,gsm8k,peak,qwen3_4b,177,0.38449801647848636,local,-0.24529557071685387,0.75,0.5425531914893617
a_three_independent__w0.75__peak,,,a_three_independent,,,,,,gsm8k,peak,qwen3_4b,0,0.7105399400508786,online,,0.75,
a_three_independent__w0.75__peak,0.6308696213016699,0.6087844739530133,a_three_independent,16,,,,,gsm8k,peak,qwen3_4b,177,0.6087844739530133,online_budget,,0.75,
a_three_independent__w0.75__peak,0.6446366626354776,0.6036772216547497,a_three_independent,32,,,,,gsm8k,peak,qwen3_4b,177,0.6036772216547497,online_budget,,0.75,
a_three_independent__w0.75__peak,0.6827979740697967,0.6699438202247191,a_three_independent,64,,,,,gsm8k,peak,qwen3_4b,177,0.6699438202247191,online_budget,,0.75,
a_three_independent__w0.75__peak,0.7540068972068532,0.7511360598770381,a_three_independent,128,,,,,gsm8k,peak,qwen3_4b,173,0.7511360598770381,online_budget,,0.75,
a_three_independent__w0.75__peak,0.9001946076235124,0.8365339578454332,a_three_independent,256,,,,,gsm8k,peak,qwen3_4b,96,0.8365339578454332,online_budget,,0.75,
a_three_independent__w0.75__peak,nan,nan,a_three_independent,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,0.75,
a_three_independent__w0.75__persistent_onset,0.8474730357925596,0.8333758937691521,a_three_independent,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8333758937691521,global,,0.75,
a_three_independent__w0.75__persistent_onset,,,a_three_independent,,0.38259051601254396,0.5421686746987951,0.2765957446808511,0.36631183469004386,gsm8k,persistent_onset,qwen3_4b,177,0.36631183469004386,local,-0.24529557071685387,0.75,0.5957446808510638
a_three_independent__w0.75__persistent_onset,,,a_three_independent,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.7105399400508786,online,,0.75,
a_three_independent__w0.75__persistent_onset,0.6308696213016699,0.6087844739530133,a_three_independent,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6087844739530133,online_budget,,0.75,
a_three_independent__w0.75__persistent_onset,0.6446366626354776,0.6036772216547497,a_three_independent,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6036772216547497,online_budget,,0.75,
a_three_independent__w0.75__persistent_onset,0.6827979740697967,0.6699438202247191,a_three_independent,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6699438202247191,online_budget,,0.75,
a_three_independent__w0.75__persistent_onset,0.7540068972068532,0.7511360598770381,a_three_independent,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.7511360598770381,online_budget,,0.75,
a_three_independent__w0.75__persistent_onset,0.9001946076235124,0.8365339578454332,a_three_independent,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.8365339578454332,online_budget,,0.75,
a_three_independent__w0.75__persistent_onset,nan,nan,a_three_independent,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,0.75,
a_three_independent__w1.00__peak,0.8474730357925596,0.8333758937691521,a_three_independent,,,,,,gsm8k,peak,qwen3_4b,177,0.8333758937691521,global,,1.0,
a_three_independent__w1.00__peak,,,a_three_independent,,0.3366801163554471,0.6746987951807228,0.2978723404255319,0.4132841328413284,gsm8k,peak,qwen3_4b,177,0.4132841328413284,local,-0.16371282657428113,1.0,0.5319148936170213
a_three_independent__w1.00__peak,,,a_three_independent,,,,,,gsm8k,peak,qwen3_4b,0,0.7105399400508786,online,,1.0,
a_three_independent__w1.00__peak,0.6308696213016699,0.6087844739530133,a_three_independent,16,,,,,gsm8k,peak,qwen3_4b,177,0.6087844739530133,online_budget,,1.0,
a_three_independent__w1.00__peak,0.6446366626354776,0.6036772216547497,a_three_independent,32,,,,,gsm8k,peak,qwen3_4b,177,0.6036772216547497,online_budget,,1.0,
a_three_independent__w1.00__peak,0.6827979740697967,0.6699438202247191,a_three_independent,64,,,,,gsm8k,peak,qwen3_4b,177,0.6699438202247191,online_budget,,1.0,
a_three_independent__w1.00__peak,0.7540068972068532,0.7511360598770381,a_three_independent,128,,,,,gsm8k,peak,qwen3_4b,173,0.7511360598770381,online_budget,,1.0,
a_three_independent__w1.00__peak,0.9001946076235124,0.8365339578454332,a_three_independent,256,,,,,gsm8k,peak,qwen3_4b,96,0.8365339578454332,online_budget,,1.0,
a_three_independent__w1.00__peak,nan,nan,a_three_independent,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,1.0,
a_three_independent__w1.00__persistent_onset,0.8474730357925596,0.8333758937691521,a_three_independent,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8333758937691521,global,,1.0,
a_three_independent__w1.00__persistent_onset,,,a_three_independent,,0.3817257071473187,0.6746987951807228,0.2765957446808511,0.3923470762597683,gsm8k,persistent_onset,qwen3_4b,177,0.3923470762597683,local,-0.16371282657428113,1.0,0.5851063829787234
a_three_independent__w1.00__persistent_onset,,,a_three_independent,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.7105399400508786,online,,1.0,
a_three_independent__w1.00__persistent_onset,0.6308696213016699,0.6087844739530133,a_three_independent,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6087844739530133,online_budget,,1.0,
a_three_independent__w1.00__persistent_onset,0.6446366626354776,0.6036772216547497,a_three_independent,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6036772216547497,online_budget,,1.0,
a_three_independent__w1.00__persistent_onset,0.6827979740697967,0.6699438202247191,a_three_independent,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6699438202247191,online_budget,,1.0,
a_three_independent__w1.00__persistent_onset,0.7540068972068532,0.7511360598770381,a_three_independent,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.7511360598770381,online_budget,,1.0,
a_three_independent__w1.00__persistent_onset,0.9001946076235124,0.8365339578454332,a_three_independent,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.8365339578454332,online_budget,,1.0,
a_three_independent__w1.00__persistent_onset,nan,nan,a_three_independent,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,1.0,
a_one_shared__w1.00__peak,0.690378109967473,0.68215892053973,a_one_shared,,,,,,math,peak,qwen3_4b,514,0.68215892053973,global,,1.0,
a_one_shared__w1.00__peak,,,a_one_shared,,0.34542481681099735,0.6208530805687204,0.1782178217821782,0.2769393387750308,math,peak,qwen3_4b,514,0.2769393387750308,local,-0.09084203208105787,1.0,0.3795379537953795
a_one_shared__w1.00__peak,,,a_one_shared,,,,,,math,peak,qwen3_4b,0,0.6085992664455991,online,,1.0,
a_one_shared__w1.00__peak,0.558684166999375,0.5502703193857617,a_one_shared,16,,,,,math,peak,qwen3_4b,514,0.5502703193857617,online_budget,,1.0,
a_one_shared__w1.00__peak,0.571876615744334,0.5540108733512032,a_one_shared,32,,,,,math,peak,qwen3_4b,514,0.5540108733512032,online_budget,,1.0,
a_one_shared__w1.00__peak,0.6268678190280422,0.5948619315840087,a_one_shared,64,,,,,math,peak,qwen3_4b,512,0.5948619315840087,online_budget,,1.0,
a_one_shared__w1.00__peak,0.6415391102076596,0.6223366013071896,a_one_shared,128,,,,,math,peak,qwen3_4b,495,0.6223366013071896,online_budget,,1.0,
a_one_shared__w1.00__peak,0.6718426218663076,0.6420994262018418,a_one_shared,256,,,,,math,peak,qwen3_4b,409,0.6420994262018418,online_budget,,1.0,
a_one_shared__w1.00__peak,0.7383163477108292,0.6339304531085354,a_one_shared,512,,,,,math,peak,qwen3_4b,203,0.6339304531085354,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.690378109967473,0.68215892053973,a_one_shared,,,,,,math,persistent_onset,qwen3_4b,514,0.68215892053973,global,,1.0,
a_one_shared__w1.00__persistent_onset,,,a_one_shared,,0.33060563178079944,0.6208530805687204,0.1551155115511551,0.24821608546663976,math,persistent_onset,qwen3_4b,514,0.24821608546663976,local,-0.09084203208105787,1.0,0.37293729372937295
a_one_shared__w1.00__persistent_onset,,,a_one_shared,,,,,,math,persistent_onset,qwen3_4b,0,0.6085992664455991,online,,1.0,
a_one_shared__w1.00__persistent_onset,0.558684166999375,0.5502703193857617,a_one_shared,16,,,,,math,persistent_onset,qwen3_4b,514,0.5502703193857617,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.571876615744334,0.5540108733512032,a_one_shared,32,,,,,math,persistent_onset,qwen3_4b,514,0.5540108733512032,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.6268678190280422,0.5948619315840087,a_one_shared,64,,,,,math,persistent_onset,qwen3_4b,512,0.5948619315840087,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.6415391102076596,0.6223366013071896,a_one_shared,128,,,,,math,persistent_onset,qwen3_4b,495,0.6223366013071896,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.6718426218663076,0.6420994262018418,a_one_shared,256,,,,,math,persistent_onset,qwen3_4b,409,0.6420994262018418,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.7383163477108292,0.6339304531085354,a_one_shared,512,,,,,math,persistent_onset,qwen3_4b,203,0.6339304531085354,online_budget,,1.0,
a_two_global_local__w0.00__peak,0.7251169743403515,0.7455666106340769,a_two_global_local,,,,,,math,peak,qwen3_4b,514,0.7455666106340769,global,,0.0,
a_two_global_local__w0.00__peak,,,a_two_global_local,,0.31834569076933544,0.6729857819905213,0.2079207920792079,0.31769029989879083,math,peak,qwen3_4b,514,0.31769029989879083,local,-0.12301449777723224,0.0,0.4158415841584158
a_two_global_local__w0.00__peak,,,a_two_global_local,,,,,,math,peak,qwen3_4b,0,0.594552204748731,online,,0.0,
a_two_global_local__w0.00__peak,0.5732211633085981,0.5751215301440189,a_two_global_local,16,,,,,math,peak,qwen3_4b,514,0.5751215301440189,online_budget,,0.0,
a_two_global_local__w0.00__peak,0.5639727568985982,0.5543137522148017,a_two_global_local,32,,,,,math,peak,qwen3_4b,514,0.5543137522148017,online_budget,,0.0,
a_two_global_local__w0.00__peak,0.5948877645142296,0.5872906840072659,a_two_global_local,64,,,,,math,peak,qwen3_4b,512,0.5872906840072659,online_budget,,0.0,
a_two_global_local__w0.00__peak,0.6124197392787326,0.6018137254901961,a_two_global_local,128,,,,,math,peak,qwen3_4b,495,0.6018137254901961,online_budget,,0.0,
a_two_global_local__w0.00__peak,0.6398491627454486,0.6343362746516227,a_two_global_local,256,,,,,math,peak,qwen3_4b,409,0.6343362746516227,online_budget,,0.0,
a_two_global_local__w0.00__peak,0.7209373583026556,0.6264488935721813,a_two_global_local,512,,,,,math,peak,qwen3_4b,203,0.6264488935721813,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.7251169743403515,0.7455666106340769,a_two_global_local,,,,,,math,persistent_onset,qwen3_4b,514,0.7455666106340769,global,,0.0,
a_two_global_local__w0.00__persistent_onset,,,a_two_global_local,,0.32630906768837803,0.6066350710900474,0.22112211221122113,0.32410574252187224,math,persistent_onset,qwen3_4b,514,0.32410574252187224,local,-0.3466247475850961,0.0,0.44884488448844884
a_two_global_local__w0.00__persistent_onset,,,a_two_global_local,,,,,,math,persistent_onset,qwen3_4b,0,0.594552204748731,online,,0.0,
a_two_global_local__w0.00__persistent_onset,0.5732211633085981,0.5751215301440189,a_two_global_local,16,,,,,math,persistent_onset,qwen3_4b,514,0.5751215301440189,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.5639727568985982,0.5543137522148017,a_two_global_local,32,,,,,math,persistent_onset,qwen3_4b,514,0.5543137522148017,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.5948877645142296,0.5872906840072659,a_two_global_local,64,,,,,math,persistent_onset,qwen3_4b,512,0.5872906840072659,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.6124197392787326,0.6018137254901961,a_two_global_local,128,,,,,math,persistent_onset,qwen3_4b,495,0.6018137254901961,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.6398491627454486,0.6343362746516227,a_two_global_local,256,,,,,math,persistent_onset,qwen3_4b,409,0.6343362746516227,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.7209373583026556,0.6264488935721813,a_two_global_local,512,,,,,math,persistent_onset,qwen3_4b,203,0.6264488935721813,online_budget,,0.0,
a_two_global_local__w0.25__peak,0.7251169743403515,0.7455666106340769,a_two_global_local,,,,,,math,peak,qwen3_4b,514,0.7455666106340769,global,,0.25,
a_two_global_local__w0.25__peak,,,a_two_global_local,,0.3188501642307608,0.7014218009478673,0.20462046204620463,0.31681800918413144,math,peak,qwen3_4b,514,0.31681800918413144,local,-0.12107164433087278,0.25,0.40594059405940597
a_two_global_local__w0.25__peak,,,a_two_global_local,,,,,,math,peak,qwen3_4b,0,0.6054563939419244,online,,0.25,
a_two_global_local__w0.25__peak,0.5806879234925661,0.5796344252116367,a_two_global_local,16,,,,,math,peak,qwen3_4b,514,0.5796344252116367,online_budget,,0.25,
a_two_global_local__w0.25__peak,0.5725124008331404,0.5583420411006618,a_two_global_local,32,,,,,math,peak,qwen3_4b,514,0.5583420411006618,online_budget,,0.25,
a_two_global_local__w0.25__peak,0.61285254784716,0.5980369708903849,a_two_global_local,64,,,,,math,peak,qwen3_4b,512,0.5980369708903849,online_budget,,0.25,
a_two_global_local__w0.25__peak,0.6309703539130376,0.612875816993464,a_two_global_local,128,,,,,math,peak,qwen3_4b,495,0.612875816993464,online_budget,,0.25,
a_two_global_local__w0.25__peak,0.6622550553330888,0.6469212594628477,a_two_global_local,256,,,,,math,peak,qwen3_4b,409,0.6469212594628477,online_budget,,0.25,
a_two_global_local__w0.25__peak,0.7352849035107784,0.6310853530031613,a_two_global_local,512,,,,,math,peak,qwen3_4b,203,0.6310853530031613,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.7251169743403515,0.7455666106340769,a_two_global_local,,,,,,math,persistent_onset,qwen3_4b,514,0.7455666106340769,global,,0.25,
a_two_global_local__w0.25__persistent_onset,,,a_two_global_local,,0.325542570951586,0.7109004739336493,0.20462046204620463,0.3177748923665687,math,persistent_onset,qwen3_4b,514,0.3177748923665687,local,-0.08615573596708939,0.25,0.41254125412541254
a_two_global_local__w0.25__persistent_onset,,,a_two_global_local,,,,,,math,persistent_onset,qwen3_4b,0,0.6054563939419244,online,,0.25,
a_two_global_local__w0.25__persistent_onset,0.5806879234925661,0.5796344252116367,a_two_global_local,16,,,,,math,persistent_onset,qwen3_4b,514,0.5796344252116367,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.5725124008331404,0.5583420411006618,a_two_global_local,32,,,,,math,persistent_onset,qwen3_4b,514,0.5583420411006618,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.61285254784716,0.5980369708903849,a_two_global_local,64,,,,,math,persistent_onset,qwen3_4b,512,0.5980369708903849,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.6309703539130376,0.612875816993464,a_two_global_local,128,,,,,math,persistent_onset,qwen3_4b,495,0.612875816993464,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.6622550553330888,0.6469212594628477,a_two_global_local,256,,,,,math,persistent_onset,qwen3_4b,409,0.6469212594628477,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.7352849035107784,0.6310853530031613,a_two_global_local,512,,,,,math,persistent_onset,qwen3_4b,203,0.6310853530031613,online_budget,,0.25,
a_two_global_local__w0.50__peak,0.7251169743403515,0.7455666106340769,a_two_global_local,,,,,,math,peak,qwen3_4b,514,0.7455666106340769,global,,0.5,
a_two_global_local__w0.50__peak,,,a_two_global_local,,0.3247572917321927,0.7298578199052133,0.20462046204620463,0.31963042313872525,math,peak,qwen3_4b,514,0.31963042313872525,local,-0.1491966629516959,0.5,0.40594059405940597
a_two_global_local__w0.50__peak,,,a_two_global_local,,,,,,math,peak,qwen3_4b,0,0.6158430836042803,online,,0.5,
a_two_global_local__w0.50__peak,0.5882939815126873,0.5847227901200914,a_two_global_local,16,,,,,math,peak,qwen3_4b,514,0.5847227901200914,online_budget,,0.5,
a_two_global_local__w0.50__peak,0.5795728583551636,0.5618251480320445,a_two_global_local,32,,,,,math,peak,qwen3_4b,514,0.5618251480320445,online_budget,,0.5,
a_two_global_local__w0.50__peak,0.624516542890811,0.6086306116530049,a_two_global_local,64,,,,,math,peak,qwen3_4b,512,0.6086306116530049,online_budget,,0.5,
a_two_global_local__w0.50__peak,0.6404201932222701,0.6230555555555557,a_two_global_local,128,,,,,math,peak,qwen3_4b,495,0.6230555555555557,online_budget,,0.5,
a_two_global_local__w0.50__peak,0.6732714801402915,0.6580838034620763,a_two_global_local,256,,,,,math,peak,qwen3_4b,409,0.6580838034620763,online_budget,,0.5,
a_two_global_local__w0.50__peak,0.7361472034980807,0.6266596417281348,a_two_global_local,512,,,,,math,peak,qwen3_4b,203,0.6266596417281348,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.7251169743403515,0.7455666106340769,a_two_global_local,,,,,,math,persistent_onset,qwen3_4b,514,0.7455666106340769,global,,0.5,
a_two_global_local__w0.50__persistent_onset,,,a_two_global_local,,0.32776552158840216,0.7251184834123223,0.2145214521452145,0.33109165362719306,math,persistent_onset,qwen3_4b,514,0.33109165362719306,local,-0.15347865680454606,0.5,0.43234323432343236
a_two_global_local__w0.50__persistent_onset,,,a_two_global_local,,,,,,math,persistent_onset,qwen3_4b,0,0.6158430836042803,online,,0.5,
a_two_global_local__w0.50__persistent_onset,0.5882939815126873,0.5847227901200914,a_two_global_local,16,,,,,math,persistent_onset,qwen3_4b,514,0.5847227901200914,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.5795728583551636,0.5618251480320445,a_two_global_local,32,,,,,math,persistent_onset,qwen3_4b,514,0.5618251480320445,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.624516542890811,0.6086306116530049,a_two_global_local,64,,,,,math,persistent_onset,qwen3_4b,512,0.6086306116530049,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.6404201932222701,0.6230555555555557,a_two_global_local,128,,,,,math,persistent_onset,qwen3_4b,495,0.6230555555555557,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.6732714801402915,0.6580838034620763,a_two_global_local,256,,,,,math,persistent_onset,qwen3_4b,409,0.6580838034620763,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.7361472034980807,0.6266596417281348,a_two_global_local,512,,,,,math,persistent_onset,qwen3_4b,203,0.6266596417281348,online_budget,,0.5,
a_two_global_local__w0.75__peak,0.7251169743403515,0.7455666106340769,a_two_global_local,,,,,,math,peak,qwen3_4b,514,0.7455666106340769,global,,0.75,
a_two_global_local__w0.75__peak,,,a_two_global_local,,0.3200658797694208,0.6587677725118484,0.2079207920792079,0.31608012994044393,math,peak,qwen3_4b,514,0.31608012994044393,local,-0.343893336631083,0.75,0.43234323432343236
a_two_global_local__w0.75__peak,,,a_two_global_local,,,,,,math,peak,qwen3_4b,0,0.6227167417775371,online,,0.75,
a_two_global_local__w0.75__peak,0.5879142998989206,0.5815425620523071,a_two_global_local,16,,,,,math,peak,qwen3_4b,514,0.5815425620523071,online_budget,,0.75,
a_two_global_local__w0.75__peak,0.5859993874533109,0.5632638226341374,a_two_global_local,32,,,,,math,peak,qwen3_4b,514,0.5632638226341374,online_budget,,0.75,
a_two_global_local__w0.75__peak,0.6343129494938473,0.6145838103524599,a_two_global_local,64,,,,,math,peak,qwen3_4b,512,0.6145838103524599,online_budget,,0.75,
a_two_global_local__w0.75__peak,0.6465596640838265,0.6308496732026143,a_two_global_local,128,,,,,math,peak,qwen3_4b,495,0.6308496732026143,online_budget,,0.75,
a_two_global_local__w0.75__peak,0.6813137722920355,0.6654129900188052,a_two_global_local,256,,,,,math,peak,qwen3_4b,409,0.6654129900188052,online_budget,,0.75,
a_two_global_local__w0.75__peak,0.7336497891831456,0.6220231822971548,a_two_global_local,512,,,,,math,peak,qwen3_4b,203,0.6220231822971548,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.7251169743403515,0.7455666106340769,a_two_global_local,,,,,,math,persistent_onset,qwen3_4b,514,0.7455666106340769,global,,0.75,
a_two_global_local__w0.75__persistent_onset,,,a_two_global_local,,0.32730035921525286,0.6445497630331753,0.22772277227722773,0.3365431168970897,math,persistent_onset,qwen3_4b,514,0.3365431168970897,local,-0.3707758794195938,0.75,0.4521452145214521
a_two_global_local__w0.75__persistent_onset,,,a_two_global_local,,,,,,math,persistent_onset,qwen3_4b,0,0.6227167417775371,online,,0.75,
a_two_global_local__w0.75__persistent_onset,0.5879142998989206,0.5815425620523071,a_two_global_local,16,,,,,math,persistent_onset,qwen3_4b,514,0.5815425620523071,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.5859993874533109,0.5632638226341374,a_two_global_local,32,,,,,math,persistent_onset,qwen3_4b,514,0.5632638226341374,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.6343129494938473,0.6145838103524599,a_two_global_local,64,,,,,math,persistent_onset,qwen3_4b,512,0.6145838103524599,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.6465596640838265,0.6308496732026143,a_two_global_local,128,,,,,math,persistent_onset,qwen3_4b,495,0.6308496732026143,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.6813137722920355,0.6654129900188052,a_two_global_local,256,,,,,math,persistent_onset,qwen3_4b,409,0.6654129900188052,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.7336497891831456,0.6220231822971548,a_two_global_local,512,,,,,math,persistent_onset,qwen3_4b,203,0.6220231822971548,online_budget,,0.75,
a_two_global_local__w1.00__peak,0.7251169743403515,0.7455666106340769,a_two_global_local,,,,,,math,peak,qwen3_4b,514,0.7455666106340769,global,,1.0,
a_two_global_local__w1.00__peak,,,a_two_global_local,,0.32301680828629914,0.7061611374407583,0.19471947194719472,0.3052642544621154,math,peak,qwen3_4b,514,0.3052642544621154,local,-0.3078710477027784,1.0,0.3927392739273927
a_two_global_local__w1.00__peak,,,a_two_global_local,,,,,,math,peak,qwen3_4b,0,0.6235031959159081,online,,1.0,
a_two_global_local__w1.00__peak,0.5782954221055692,0.5626429209637606,a_two_global_local,16,,,,,math,peak,qwen3_4b,514,0.5626429209637606,online_budget,,1.0,
a_two_global_local__w1.00__peak,0.5819181506660043,0.5582057456120425,a_two_global_local,32,,,,,math,peak,qwen3_4b,514,0.5582057456120425,online_budget,,1.0,
a_two_global_local__w1.00__peak,0.6364830290743337,0.6156828624200515,a_two_global_local,64,,,,,math,peak,qwen3_4b,512,0.6156828624200515,online_budget,,1.0,
a_two_global_local__w1.00__peak,0.644737261766999,0.6313235294117647,a_two_global_local,128,,,,,math,peak,qwen3_4b,495,0.6313235294117647,online_budget,,1.0,
a_two_global_local__w1.00__peak,0.6840314889148651,0.6657987366796856,a_two_global_local,256,,,,,math,peak,qwen3_4b,409,0.6657987366796856,online_budget,,1.0,
a_two_global_local__w1.00__peak,0.7316344441378462,0.6165437302423604,a_two_global_local,512,,,,,math,peak,qwen3_4b,203,0.6165437302423604,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.7251169743403515,0.7455666106340769,a_two_global_local,,,,,,math,persistent_onset,qwen3_4b,514,0.7455666106340769,global,,1.0,
a_two_global_local__w1.00__persistent_onset,,,a_two_global_local,,0.33575581395348836,0.7061611374407583,0.20462046204620463,0.3172989403905271,math,persistent_onset,qwen3_4b,514,0.3172989403905271,local,-0.29569018267155717,1.0,0.40594059405940597
a_two_global_local__w1.00__persistent_onset,,,a_two_global_local,,,,,,math,persistent_onset,qwen3_4b,0,0.6235031959159081,online,,1.0,
a_two_global_local__w1.00__persistent_onset,0.5782954221055692,0.5626429209637606,a_two_global_local,16,,,,,math,persistent_onset,qwen3_4b,514,0.5626429209637606,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.5819181506660043,0.5582057456120425,a_two_global_local,32,,,,,math,persistent_onset,qwen3_4b,514,0.5582057456120425,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.6364830290743337,0.6156828624200515,a_two_global_local,64,,,,,math,persistent_onset,qwen3_4b,512,0.6156828624200515,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.644737261766999,0.6313235294117647,a_two_global_local,128,,,,,math,persistent_onset,qwen3_4b,495,0.6313235294117647,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.6840314889148651,0.6657987366796856,a_two_global_local,256,,,,,math,persistent_onset,qwen3_4b,409,0.6657987366796856,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.7316344441378462,0.6165437302423604,a_two_global_local,512,,,,,math,persistent_onset,qwen3_4b,203,0.6165437302423604,online_budget,,1.0,
a_three_independent__w0.00__peak,0.7251169743403515,0.7455666106340769,a_three_independent,,,,,,math,peak,qwen3_4b,514,0.7455666106340769,global,,0.0,
a_three_independent__w0.00__peak,,,a_three_independent,,0.31834569076933544,0.6729857819905213,0.2079207920792079,0.31769029989879083,math,peak,qwen3_4b,514,0.31769029989879083,local,-0.12301449777723224,0.0,0.4158415841584158
a_three_independent__w0.00__peak,,,a_three_independent,,,,,,math,peak,qwen3_4b,0,0.6085992664455991,online,,0.0,
a_three_independent__w0.00__peak,0.558684166999375,0.5502703193857617,a_three_independent,16,,,,,math,peak,qwen3_4b,514,0.5502703193857617,online_budget,,0.0,
a_three_independent__w0.00__peak,0.571876615744334,0.5540108733512032,a_three_independent,32,,,,,math,peak,qwen3_4b,514,0.5540108733512032,online_budget,,0.0,
a_three_independent__w0.00__peak,0.6268678190280422,0.5948619315840087,a_three_independent,64,,,,,math,peak,qwen3_4b,512,0.5948619315840087,online_budget,,0.0,
a_three_independent__w0.00__peak,0.6415391102076596,0.6223366013071896,a_three_independent,128,,,,,math,peak,qwen3_4b,495,0.6223366013071896,online_budget,,0.0,
a_three_independent__w0.00__peak,0.6718426218663076,0.6420994262018418,a_three_independent,256,,,,,math,peak,qwen3_4b,409,0.6420994262018418,online_budget,,0.0,
a_three_independent__w0.00__peak,0.7383163477108292,0.6339304531085354,a_three_independent,512,,,,,math,peak,qwen3_4b,203,0.6339304531085354,online_budget,,0.0,
a_three_independent__w0.00__persistent_onset,0.7251169743403515,0.7455666106340769,a_three_independent,,,,,,math,persistent_onset,qwen3_4b,514,0.7455666106340769,global,,0.0,
